,hospital_pk,collection_week,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,is_metro_micro,total_icu_beds_7_day_avg,icu_beds_used_7_day_avg,geocoded_hospital_address,latitude,longitude,icu_beds_used_pct_7_day_avg
2961,332006,2021/03/12,NY,332006,CALVARY HOSPITAL INC,1740 - 70 EASTCHESTER R0AD,BRONX,10461.0,Long Term,36005.0,True,0.0,0.0,POINT (-73.84404860297437 40.84823562129306),40.84823562129306,-73.84404860297437,
2962,330059,2021/03/12,NY,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,10467.0,Short Term,36005.0,True,206.0,183.1,POINT (-73.879975 40.879777),40.879777,-73.879975,0.8888349514563106
2963,330080,2021/03/12,NY,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,10451.0,Short Term,36005.0,True,80.4,42.7,POINT (-73.924072 40.817681),40.817681,-73.924072,0.5310945273631841
2964,330009,2021/03/12,NY,330009,BRONXCARE HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,10456.0,Short Term,36005.0,True,77.0,49.3,POINT (-73.903756 40.83175),40.83175,-73.903756,0.6402597402597402
2965,330399,2021/03/12,NY,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,10457.0,Short Term,36005.0,True,56.0,41.0,POINT (-73.892168 40.85277),40.85277,-73.892168,0.7321428571428571
2966,330127,2021/03/12,NY,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,10461.0,Short Term,36005.0,True,89.0,71.3,POINT (-73.84721 40.857455),40.857455,-73.84721,0.801123595505618
2967,330385,2021/03/12,NY,330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,10467.0,Short Term,36005.0,True,92.9,47.0,POINT (-73.88108250297297 40.88078958599722),40.88078958599722,-73.88108250297297,0.5059203444564047
3001,330019,2021/03/12,NY,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,11229.0,Short Term,36047.0,True,19.0,18.3,POINT (-73.948321 40.613783),40.613783,-73.948321,0.9631578947368421
3002,330196,2021/03/12,NY,330196,CONEY ISLAND HOSPITAL CENTER,2601 OCEAN PARKWAY,BROOKLYN,11235.0,Short Term,36047.0,True,55.1,42.6,POINT (-73.966285 40.58494),40.58494,-73.966285,0.7731397459165155
3003,330396,2021/03/12,NY,330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,11206.0,Short Term,36047.0,True,13.9,13.6,POINT (-73.941557 40.700512),40.700512,-73.941557,0.9784172661870503
3004,330233,2021/03/12,NY,330233,BROOKDALE HOSPITAL MEDICAL CENTER,1 BROOKDALE PLAZA,BROOKLYN,11212.0,Short Term,36047.0,True,51.9,45.9,POINT (-73.91275 40.6545),40.6545,-73.91275,0.884393063583815
3005,330236,2021/03/12,NY,330236,NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,506 SIXTH STREET,BROOKLYN,11215.0,Short Term,36047.0,True,75.0,55.4,POINT (-73.979141 40.668263),40.668263,-73.979141,0.7386666666666667
3006,330056,2021/03/12,NY,330056,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,121 DEKALB AVENUE,BROOKLYN,11201.0,Short Term,36047.0,True,24.0,18.9,POINT (-73.9774 40.689785),40.689785,-73.9774,0.7875
3007,330194,2021/03/12,NY,330194,MAIMONIDES MEDICAL CENTER,4802 TENTH AVENUE,BROOKLYN,11219.0,Short Term,36047.0,True,80.0,57.9,POINT (-73.998668 40.63908),40.63908,-73.998668,0.72375
3008,330202,2021/03/12,NY,330202,KINGS COUNTY HOSPITAL CENTER,451 CLARKSON AVENUE,BROOKLYN,11203.0,Short Term,36047.0,True,48.3,47.4,POINT (-73.944039 40.655773),40.655773,-73.944039,0.9813664596273293
3009,330397,2021/03/12,NY,330397,INTERFAITH MEDICAL CENTER,1545 ATLANTIC AVENUE,BROOKLYN,11213.0,Short Term,36047.0,True,23.0,19.4,POINT (-73.937154 40.677866),40.677866,-73.937154,0.8434782608695651
3010,330201,2021/03/12,NY,330201,KINGSBROOK JEWISH MEDICAL CENTER,585 SCHENECTADY AVENUE,BROOKLYN,11203.0,Short Term,36047.0,True,20.0,15.0,POINT (-73.934072 40.658929),40.658929,-73.934072,0.75
3011,330221,2021/03/12,NY,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,11237.0,Short Term,36047.0,True,28.0,20.0,POINT (-73.917648 40.704699),40.704699,-73.917648,0.7142857142857143
3012,330350,2021/03/12,NY,330350,SUNY HEALTH SCIENCE CENTER AT BROOKLYN UNIVERSITY,445 LENOX ROAD,BROOKLYN,11203.0,Short Term,36047.0,True,22.0,22.3,POINT (-73.94516 40.654457),40.654457,-73.94516,1.0136363636363637
3031,330410,2021/03/12,NY,330410,TERENCE CARDINAL COOKE HEALTH CARE CENTER,1249 FIFTH AVENUE,NEW YORK,10029.0,Short Term,36061.0,True,0.0,0.0,POINT (-73.951083 40.794298),40.794298,-73.951083,
3032,330199,2021/03/12,NY,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,10029.0,Short Term,36061.0,True,23.0,12.9,POINT (-73.943636 40.78472),40.78472,-73.943636,0.5608695652173913
3033,330204,2021/03/12,NY,330204,BELLEVUE HOSPITAL CENTER,462 FIRST AVENUE,NEW YORK,10016.0,Short Term,36061.0,True,111.3,96.1,POINT (-73.97625 40.740079),40.740079,-73.97625,0.8634321653189577
3034,330119,2021/03/12,NY,330119,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NEW YORK,10021.0,Short Term,36061.0,True,111.0,51.6,POINT (-73.960611 40.773964),40.773964,-73.960611,0.4648648648648649
3035,330154,2021/03/12,NY,330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,1275 YORK AVENUE,NEW YORK,10065.0,Short Term,36061.0,True,40.0,30.0,POINT (-73.955801 40.764044),40.764044,-73.955801,0.75
3037,332008,2021/03/12,NY,332008,HENRY J CARTER SPECIALTY HOSPITAL,1752 PARK AVENUE,NEW YORK,10035.0,Long Term,36061.0,True,0.0,0.0,POINT (-73.940812 40.80287),40.80287,-73.940812,
3038,330100,2021/03/12,NY,330100,N Y EYE AND EAR INFIRMARY,230 SECOND AVE,NEW YORK,10003.0,Short Term,36061.0,True,0.0,0.0,POINT (-73.984816 40.732559),40.732559,-73.984816,
3039,330024,2021/03/12,NY,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,10029.0,Short Term,36061.0,True,258.0,135.0,POINT (-73.95293294771362 40.79025685781565),40.79025685781565,-73.95293294771362,0.5232558139534884
3040,330046,2021/03/12,NY,330046,MOUNT SINAI WEST,1000 TENTH AVENUE,NEW YORK,10019.0,Short Term,36061.0,True,76.9,67.9,POINT (-73.987846 40.770129),40.770129,-73.987846,0.88296488946684
3041,330101,2021/03/12,NY,330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,10065.0,Short Term,36061.0,True,537.0,465.6,POINT (-73.954335 40.76415),40.76415,-73.954335,0.8670391061452515
3042,330214,2021/03/12,NY,330214,NYU LANGONE HOSPITALS,550 FIRST AVENUE,NEW YORK,10016.0,Short Term,36061.0,True,390.0,291.3,POINT (-73.974661 40.74226),40.74226,-73.974661,0.7469230769230769
3043,330240,2021/03/12,NY,330240,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,NEW YORK,10037.0,Short Term,36061.0,True,29.3,24.4,POINT (-73.940495 40.814482),40.814482,-73.940495,0.8327645051194539
3044,330169,2021/03/12,NY,330169,MOUNT SINAI BETH ISRAEL,FIRST AVENUE AT 16TH STREET,NEW YORK,10003.0,Short Term,36061.0,True,61.0,51.3,POINT (-73.9816 40.732665),40.732665,-73.9816,0.840983606557377
3067,330193,2021/03/12,NY,330193,FLUSHING HOSPITAL MEDICAL CENTER,45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,11355.0,Short Term,36081.0,True,36.0,27.0,POINT (-73.815645 40.755636),40.755636,-73.815645,0.75
3068,330231,2021/03/12,NY,330231,QUEENS HOSPITAL CENTER,82-68 164TH STREET,JAMAICA,11432.0,Short Term,36081.0,True,41.1,35.4,POINT (-73.803431 40.71698),40.71698,-73.803431,0.8613138686131386
3069,330014,2021/03/12,NY,330014,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,11418.0,Short Term,36081.0,True,62.0,52.6,POINT (-73.816302 40.701412),40.701412,-73.816302,0.8483870967741935
3070,330055,2021/03/12,NY,330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,11355.0,Short Term,36081.0,True,113.0,59.0,POINT (-73.82525511455265 40.748180495849915),40.748180495849915,-73.82525511455265,0.5221238938053098
3071,330128,2021/03/12,NY,330128,ELMHURST HOSPITAL CENTER,79-01 BROADWAY,ELMHURST,11373.0,Short Term,36081.0,True,79.6,40.6,POINT (-73.88598 40.74434),40.74434,-73.88598,0.5100502512562815
3072,330395,2021/03/12,NY,330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,327 BEACH 19TH STREET,FAR ROCKAWAY,11691.0,Short Term,36081.0,True,25.0,17.9,POINT (-73.75268 40.598675),40.598675,-73.75268,0.716
3075,330028,2021/03/12,NY,330028,RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,STATEN ISLAND,10310.0,Short Term,36085.0,True,73.0,40.4,POINT (-74.106693 40.63551),40.63551,-74.106693,0.5534246575342465
3076,330160,2021/03/12,NY,330160,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,STATEN ISLAND,10305.0,Short Term,36085.0,True,107.7,101.7,POINT (-74.087013 40.584082),40.584082,-74.087013,0.9442896935933147
7980,330127,2021/03/05,NY,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,10461.0,Short Term,36005.0,True,89.0,69.3,POINT (-73.84721 40.857455),40.857455,-73.84721,0.7786516853932584
7981,330080,2021/03/05,NY,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,10451.0,Short Term,36005.0,True,79.1,48.1,POINT (-73.924072 40.817681),40.817681,-73.924072,0.6080910240202276
7982,330009,2021/03/05,NY,330009,BRONXCARE HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,10456.0,Short Term,36005.0,True,77.0,45.9,POINT (-73.903756 40.83175),40.83175,-73.903756,0.5961038961038961
7983,330399,2021/03/05,NY,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,10457.0,Short Term,36005.0,True,56.0,42.4,POINT (-73.892168 40.85277),40.85277,-73.892168,0.7571428571428571
7984,330059,2021/03/05,NY,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,10467.0,Short Term,36005.0,True,206.0,180.6,POINT (-73.879975 40.879777),40.879777,-73.879975,0.8766990291262136
7985,332006,2021/03/05,NY,332006,CALVARY HOSPITAL INC,1740 - 70 EASTCHESTER R0AD,BRONX,10461.0,Long Term,36005.0,True,0.0,0.0,POINT (-73.84404860297437 40.84823562129306),40.84823562129306,-73.84404860297437,
7986,330385,2021/03/05,NY,330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,10467.0,Short Term,36005.0,True,65.0,50.3,POINT (-73.88108250297297 40.88078958599722),40.88078958599722,-73.88108250297297,0.7738461538461539
8020,330194,2021/03/05,NY,330194,MAIMONIDES MEDICAL CENTER,4802 TENTH AVENUE,BROOKLYN,11219.0,Short Term,36047.0,True,80.0,62.3,POINT (-73.998668 40.63908),40.63908,-73.998668,0.7787499999999999
8021,330202,2021/03/05,NY,330202,KINGS COUNTY HOSPITAL CENTER,451 CLARKSON AVENUE,BROOKLYN,11203.0,Short Term,36047.0,True,54.0,54.3,POINT (-73.944039 40.655773),40.655773,-73.944039,1.0055555555555555
8022,330233,2021/03/05,NY,330233,BROOKDALE HOSPITAL MEDICAL CENTER,1 BROOKDALE PLAZA,BROOKLYN,11212.0,Short Term,36047.0,True,51.1,43.3,POINT (-73.91275 40.6545),40.6545,-73.91275,0.847358121330724
8023,330236,2021/03/05,NY,330236,NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,506 SIXTH STREET,BROOKLYN,11215.0,Short Term,36047.0,True,75.0,56.7,POINT (-73.979141 40.668263),40.668263,-73.979141,0.756
8024,330056,2021/03/05,NY,330056,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,121 DEKALB AVENUE,BROOKLYN,11201.0,Short Term,36047.0,True,24.0,18.4,POINT (-73.9774 40.689785),40.689785,-73.9774,0.7666666666666666
8025,330196,2021/03/05,NY,330196,CONEY ISLAND HOSPITAL CENTER,2601 OCEAN PARKWAY,BROOKLYN,11235.0,Short Term,36047.0,True,56.3,45.1,POINT (-73.966285 40.58494),40.58494,-73.966285,0.8010657193605685
8026,330396,2021/03/05,NY,330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,11206.0,Short Term,36047.0,True,21.7,22.0,POINT (-73.941557 40.700512),40.700512,-73.941557,1.0138248847926268
